,heading,date,link
30,"Time Table of Odd Semester 2019 for IT Department (1st, 3rd,5th,7th)Published By: Mr. SATISH KUMAR SINGH, ASSISTANT PROFESSOR, INFORMATION TECHNOLOGY",25-06-2019,https://www.imsnsit.org/imsnsit/plum_url.php?eY2UeGtPrzku8PQeSGkudnSMmpB6o3o9KbG7ytvVw7x9oPMoW0elJwiV4FjxCkwH5+8uVTrz2wCI5xTnP9/q8tmmSYYPcZ08W8MLGzFK0rLkFOIqrTOF0IgHF/4Fz6joA4u432dnGem0geUBPjeC2gpVupdULi48uyEqXFpvTHEk65vSceuo/cI4G3vyGpQqFKI2UWIfSf666QwD7vYBZBxIxno713N7rvtxPKzeKfo=
31,"Time Table of Odd Semester 2019 for BSE Division (3rd, 5th and 7th Semester - B.E. Biotechnology)Published By: DR YATENDER KUMAR, ASSISTANT PROFESSOR, BIO TECHNOLOGY",25-06-2019,https://www.imsnsit.org/imsnsit/plum_url.php?m7TO8bvVDLeP/0USloaNQHqKqTDh00byBOgiq3FYoCY2Q4lwcLU4AQw/8eo0ZeW5/DgtA4suia929jlget2sTSrbVaRrM1Ja1Fj6qV29mlYMFtXPh3T/CuqO2jKH1jl79sIOBKWFEQYrAJ0NM/4dq0n0iI8vCkOYJ9ynJN5aJ6THinUsRFWiE19Uu9RIVfzkWPNP94y55oXMW9Nhi6st+OQnfeA5MktYZlXaA9qQo6o=
32,"Farewell Batch of 2019Published By:  ABHISHEK FAUJDAR, SENIOR SYSTEM ANALYST, CENTRAL COMPUTER CENTER",30-05-2019,https://www.imsnsit.org/imsnsit/plum_url.php?b3gPkjAppXAVwpz4VNiYBDdlTExYZ0cWNWhaw6IuDbHU75xMUXteZCIEhjBHlKiIzL/6y7ppyUSH5oAEQDy2oG//+cem826E0c15vwhMtoHKjHeE+WEPcbcdFKB436p0Uq465s1SzQeJi/p9SVOkivYo4K0zaelz9D5eLYy8dny2yaNe45SjD4fucpbts9gyjRdtUFlQ9zmDSROnQsS+mw==
33,"Project Guidelines for 7 sem ECE stdentsPublished By: Dr BHAWNA AGGARWAL, ASSISTANT PROFESSOR, ELECTRONICS AND COMMUNICATION ENGINEERING",30-05-2019,https://www.imsnsit.org/imsnsit/plum_url.php?a++1i5zWvFxfQSLKEz06kvK5TeZHeyTpT1fYsau/5r4zRlJqPt608dBGfAYqMy26UktMKtthzRKyx+D5U1feXHTD4GXITUcE0jnAQ1MYUFdb+2MtxQs+ARTVGrB2t/ZLYM/bQtTAIEqqMt8TX2gAsNwbMlv/CWIJozKHWMgtw8rGH8a2xNmJPJOk/6wO9/QjeenL6T5BCwSJz6Z4KQiGBUqMQRyOXduR2iKFMKgUqG4z5o2aMQmEPtGYArFQa9WR
34,"RM and IPR Course for Ph.D. ScholarsPublished By:  HIMANSHU SINGHAL, SENIOR SYSTEM ANALYST-1, UNIVERSITY MANAGEMENT CENTRE, CENTRAL COMPUTER CENTER",28-05-2019,https://www.imsnsit.org/imsnsit/plum_url.php?sI1459rnQO8vEMghpp/d+nN4F1GtAqXEtcL+rN9RjvSNYNZ2eWVXMIi8ItcXhars2bvubyWYzi3fMFxkkcbm0RUFub8Kt84E5r7XLrTxgFihYMXWnRgyKxQP6OSEskaYAIFxNDLLPvwWGPQMRB05qXOWyBjGBiJoI02BAp/dfds24jSXrh6fnnRMbIcrF1wo
35,"VII Semester MPAE and ME  BE Project Guide AllocationPublished By: Dr ANDRIYA NARASIMHULU, ASSISTANT PROFESSOR, MANUFACTURING PROCESSES AND AUTOMATION ENGINEERING",27-05-2019,https://www.imsnsit.org/imsnsit/plum_url.php?/tFgjoxrEQlW2LRxlF418L25UctbPvHPtm31GAAxq0EZSuwFTr4cUvfYQYtzyHd/jL0OgmaiGfttQPvyJLJFHKAupG39CSd4lQUeULO2DTesZDIirzVrcKcMAXJkivepHGg1efqqX48l5bPOIHm4DHbchtwA5fn8w/TmJ4lE6zYZsyfeErVBljoI/qOiNSzYJyD28K9ty0MdgRkXSYvOQjzh3SMCoen4PtEv9Envt4XeIOZSbokmcpzRJHCmoT0q
36,"Instructions for students who availed LOAN from banksPublished By:  HIMANSHU SINGHAL, CENTRAL COMPUTER CENTER",24-05-2019,https://www.imsnsit.org/imsnsit/plum_url.php?ZlJY+zzvF4uZcohcYYUFANlX+PZuNAJ2wuyPZZYNdwqd7gk1fNWuP2UO7Uys1lpzYE+xJjqNH4Fl1yg1YfMZQtnE9ZsUtoxZWsOTeHPMyNsmJwpuLgBhkpwAf1WOZgDFr4kb0Y4Y6A+vCMapHOFZxA01zN+l2zRNNOemb79lUH88nQbB+VVjdfY5NZYreEB+
37,"Guest Faculty Remuneration Bills regardingPublished By:  KARNAIL SINGH, ACADEMIC SECTION",22-05-2019,https://www.imsnsit.org/imsnsit/plum_url.php?Fc3NU1QaNCi6Oomql70+yhz81D0LH7B2PndCR07RRovPYr04OvRC3kNYIHvh8P+MqLLiQFDXOIgZSDxB2HHPJkaHJQRAocFBspkhF7vJrR5moVjJwhHA+AqIfVEXI2wAoEP75l7EkEivKP+LXSo4boI2iYp3un1k2hbyhB5Fvr3G3VbX4x1jpOzMiU2cmyYYpHMVFnJVdmnh2XGVIUmKKw==
38,"ECE BE PROJECT SCHEDULE-4Published By: Dr BHAWNA AGGARWAL, ASSISTANT PROFESSOR, ELECTRONICS AND COMMUNICATION ENGINEERING",21-05-2019,https://www.imsnsit.org/imsnsit/plum_url.php?UCgTyK2Vcr9rMTMOoYAOOdFJZrqdI1NEvYAzfh5seGa2YoEsMNu4QoWJ4tvbBzzcbiZCavS3igxwP7s7XZIz//ZbhhAO2AprYDXGK/+zV7utVxP7tvUZMDQMfbt527gdx2JbFjIm14DoHj5dDgcK76H93tYJYwQNJOpKmb2fGxFum0qjzT/KpPs0s01/P8/fRQn63YvkRcSkmlGn9oYr3tBpNcvl9lRIkTcpnNAJxYE=
39,"ECE BE PROJECT SCHEDULE-3Published By: Dr BHAWNA AGGARWAL, ASSISTANT PROFESSOR, ELECTRONICS AND COMMUNICATION ENGINEERING",21-05-2019,https://www.imsnsit.org/imsnsit/plum_url.php?2xduNpbfuBQ6UUzJB/EKlNlg8iWKcVqKO4jXBeNQw7T7FX2r1CHZQ6GdzYJKNp4BAVXKEk2frvntXydUkXHXvaaXBPc0qZMEVLAMOZPrKgMDzUAkyxKPDoLGL33v7Ic857uhVu9yFgt1aeHixVrg2R01Up4pWjJfeWb12bFOw/FVcDJ3EgQBvcUT4tixiHz2JqWYVJKF7DqEKSYmWvoomBBF7rBbls9mrYoK06eP1N8=
